Category X,Date,Values
company3,1/2/2024,673
company1,1/3/2024,1407
company1,1/4/2024,399
company4,1/5/2024,2088
company3,1/6/2024,2609
company4,1/7/2024,1726
company1,1/8/2024,2208
company4,1/9/2024,1491
company3,1/10/2024,980
company5,1/11/2024,2345
company2,1/12/2024,2613
company6,1/13/2024,2081
company3,1/14/2024,835
company4,1/15/2024,874
company6,1/16/2024,1587
company4,1/17/2024,1456
company2,1/18/2024,700
company3,1/19/2024,426
company2,1/20/2024,2350
company4,1/21/2024,2179
company2,1/22/2024,2308
company3,1/23/2024,3011
company3,1/24/2024,1441
company4,1/25/2024,9
company4,1/26/2024,1560
company3,1/27/2024,2870
company3,1/28/2024,2504
company5,1/29/2024,421
company4,1/30/2024,1405
company4,1/31/2024,1258
company1,2/1/2024,1753
company4,2/2/2024,229
company5,2/3/2024,170
company3,2/4/2024,1748
company4,2/5/2024,1192
company3,2/6/2024,935
company4,2/7/2024,1914
company5,2/8/2024,2445
company2,2/9/2024,586
company1,2/10/2024,472
company5,2/11/2024,781
company4,2/12/2024,1418
company2,2/13/2024,2797
company4,2/14/2024,71
company6,2/15/2024,735
company1,2/16/2024,1485
company2,2/17/2024,2227
company4,2/18/2024,1935
company6,2/19/2024,2803
company5,2/20/2024,1485
company1,2/21/2024,2306
company1,2/22/2024,3238
company1,2/23/2024,694
company5,2/24/2024,172
company5,2/25/2024,1586
company3,2/26/2024,135
company6,2/27/2024,1347
company6,2/28/2024,51
company5,2/29/2024,990
company1,3/1/2024,2045
company2,3/2/2024,941
company4,3/3/2024,1081
company1,1/2/2024,1624
company2,1/3/2024,1010
company1,1/4/2024,2464
company2,1/5/2024,1151
company6,1/6/2024,3375
company3,1/7/2024,2292
company5,1/8/2024,2742
company1,1/9/2024,30
company1,1/10/2024,2253
company3,1/11/2024,1048
company6,1/12/2024,1092
company6,1/13/2024,898
company2,1/14/2024,783
company5,1/15/2024,57
company4,1/16/2024,1296
company4,1/17/2024,1467
company4,1/18/2024,2189
company1,1/19/2024,1119
company1,1/20/2024,15
company6,1/21/2024,2626
company6,1/22/2024,2073
company1,1/23/2024,1519
company4,1/24/2024,3090
company4,1/25/2024,193
company4,1/26/2024,1578
company5,1/27/2024,1926
company6,1/28/2024,2522
company6,1/29/2024,3225
company5,1/30/2024,2766
company1,1/31/2024,2507
company1,2/1/2024,231
company3,2/2/2024,3174
company4,2/3/2024,877
company6,2/4/2024,1357
company4,2/5/2024,863
company2,2/6/2024,2645
company5,2/7/2024,2554
company3,2/8/2024,1286
company5,2/9/2024,915
company4,2/10/2024,2498
company1,2/11/2024,2565
company1,2/12/2024,1263
company4,2/13/2024,493
company6,2/14/2024,891
company4,2/15/2024,1575
company5,2/16/2024,3117
company3,2/17/2024,1444
company2,2/18/2024,2172
company3,2/19/2024,2645
company2,2/20/2024,1370
company3,2/21/2024,1712
company1,2/22/2024,2158
company5,2/23/2024,1985
company2,2/24/2024,3274
company5,2/25/2024,685
company1,2/26/2024,1309
company5,2/27/2024,644
company2,2/28/2024,3174
company3,2/29/2024,829
company5,3/1/2024,2322
company2,3/2/2024,1411
company5,3/3/2024,709
company3,1/2/2024,1984
company4,1/3/2024,633
company5,1/4/2024,3158
company2,1/5/2024,3235
company4,1/6/2024,2296
company5,1/7/2024,1592
company4,1/8/2024,3125
company1,1/9/2024,104
company2,1/10/2024,2934
company1,1/11/2024,1276
company3,1/12/2024,258
company2,1/13/2024,417
company3,1/14/2024,45
company6,1/15/2024,3198
company5,1/16/2024,552
company5,1/17/2024,1696
company5,1/18/2024,1479
company3,1/19/2024,3175
company6,1/20/2024,507
company4,1/21/2024,1599
company4,1/22/2024,2915
company6,1/23/2024,764
company1,1/24/2024,145
company5,1/25/2024,3039
company1,1/26/2024,4
company1,1/27/2024,1008
company2,1/28/2024,7
company3,1/29/2024,1019
company2,1/30/2024,2818
company4,1/31/2024,2090
company2,2/1/2024,1047
company1,2/2/2024,179
company6,2/3/2024,141
company6,2/4/2024,299
company4,2/5/2024,188
company3,2/6/2024,1230
company6,2/7/2024,3091
company2,2/8/2024,1726
company6,2/9/2024,702
company6,2/10/2024,455
company2,2/11/2024,2291
company4,2/12/2024,2243
company5,2/13/2024,2551
company3,2/14/2024,1425
company2,2/15/2024,569
company4,2/16/2024,2866
company1,2/17/2024,1021
company5,2/18/2024,2078
company1,2/19/2024,890
company3,2/20/2024,2022
company6,2/21/2024,1406
company4,2/22/2024,2394
company5,2/23/2024,3076
company3,2/24/2024,2637
company5,2/25/2024,824
company6,2/26/2024,2065
company3,2/27/2024,1340
company3,2/28/2024,1952
